0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,1,6
0,2,5
0,3,4
0,4,3
0,5,2
0,6,1
1,6,0
1,6,1
1,6,2
1,6,3
2,6,2
2,7,1
2,8,0
2,8,1
2,8,2
2,8,3
2,8,4
2,8,5
3,8,4
3,9,3
3,10,2
3,10,3
3,10,4
4,10,4
5,10,3
5,11,2
5,12,1
5,13,0
5,13,1
5,13,2
5,13,3
6,13,2
6,14,1
6,15,0
6,15,1
7,15,0
7,15,1
8,15,0
9,15,0
10,15,0
10,15,1
10,15,2
10,15,3
10,16,3
11,16,2
12,16,1
12,17,0
12,17,1
12,17,2
13,17,2
13,18,1
14,18,1
14,18,2
14,19,1
15,19,1
16,19,0
16,19,1
16,19,2
16,20,1
17,20,0
18,20,0
18,20,1
18,20,2
18,20,3
18,20,4
19,20,4
19,20,5
19,21,4
19,21,5
19,21,6
19,22,6
19,23,6
19,24,5
19,25,4
19,26,4
20,26,3
20,27,2
20,28,1
21,28,1
21,29,0
21,30,0
22,30,0
22,30,1
22,30,2
22,30,3
22,30,4
22,30,5
22,30,6
22,30,7
22,30,8
22,30,9
22,30,10
22,30,11
22,30,12
22,31,12
22,32,12
22,33,11
22,34,10
22,35,9
22,36,8
22,37,7
22,38,6
22,39,6
23,39,6
23,40,5
24,40,5
25,40,5
25,41,4
25,42,3
25,43,2
25,44,1
26,44,0
26,44,1
27,44,0
28,44,0
28,44,1
28,44,2
29,44,2
30,44,1
31,44,1
31,45,1
32,45,0
33,45,0
33,45,1
33,45,2
33,45,3
33,46,2
33,47,2
34,47,1
35,47,1
35,48,0
36,48,0
36,48,1
36,48,2
37,48,1
37,49,0
38,49,0
38,49,1
38,49,2
38,49,3
38,49,4
38,49,5
38,49,6
39,49,6
40,49,6
40,50,6
40,51,5
40,52,5
41,52,5
41,53,4
41,54,3
41,55,2
41,56,1
41,57,1
41,58,1
41,59,0
41,60,0
42,60,0
43,60,0
44,60,0
45,60,0
45,60,1
45,61,1
46,61,0
46,62,0
47,62,0
48,62,0
49,62,0
50,62,0
51,62,0
52,62,0
53,62,0
54,62,0
55,62,0
56,62,0
57,62,0
58,62,0
58,62,1
58,62,2
58,62,3
58,62,4
58,62,5
58,63,5
58,63,6
58,64,6
58,65,6
58,65,7
58,65,8
58,66,7
58,66,8
58,66,9
58,66,10
58,66,11
58,67,11
58,68,11
58,68,12
58,68,13
58,69,13
58,70,13
58,71,12
58,72,12
58,73,11
59,73,11
59,74,10
59,75,10
59,76,10
59,77,9
60,77,9
60,78,8
60,79,8
60,80,7
60,81,6
60,82,6
60,83,6
60,84,6
60,85,6
60,86,6
60,87,5
60,88,4
60,89,3
60,90,2
60,91,2
60,92,2
60,93,2
60,94,1
60,95,0
60,96,0
61,96,0
61,96,1
62,96,0
62,96,1
62,96,2
62,96,3
62,96,4
62,96,5
62,96,6
62,96,7
62,96,8
63,96,8
63,97,8
63,98,8
63,99,7
63,100,7
63,101,7
63,102,7
63,103,7
63,104,7
63,105,7
63,106,7
63,107,6
63,108,6
63,109,6
64,109,5
64,110,4
64,111,3
65,111,2
65,112,1
