success,failure,stuck,success_percent,failure_percent,stuck_percent
41,54,3,0.4184,0.551,0.0306
41,55,2,0.4184,0.5612,0.0204
41,56,1,0.4184,0.5714,0.0102
41,57,1,0.4141,0.5758,0.0101
41,58,1,0.41,0.58,0.01
41,59,0,0.41,0.59,0.0
41,60,0,0.4059,0.5941,0.0
42,60,0,0.4118,0.5882,0.0
43,60,0,0.4175,0.5825,0.0
44,60,0,0.4231,0.5769,0.0
45,60,0,0.4286,0.5714,0.0
45,60,1,0.4245,0.566,0.0094
45,61,1,0.4206,0.5701,0.0093
46,61,0,0.4299,0.5701,0.0
46,62,0,0.4259,0.5741,0.0
47,62,0,0.4312,0.5688,0.0
48,62,0,0.4364,0.5636,0.0
49,62,0,0.4414,0.5586,0.0
50,62,0,0.4464,0.5536,0.0
51,62,0,0.4513,0.5487,0.0
52,62,0,0.4561,0.5439,0.0
53,62,0,0.4609,0.5391,0.0
54,62,0,0.4655,0.5345,0.0
55,62,0,0.4701,0.5299,0.0
56,62,0,0.4746,0.5254,0.0
57,62,0,0.479,0.521,0.0
58,62,0,0.4833,0.5167,0.0
58,62,1,0.4793,0.5124,0.0083
58,62,2,0.4754,0.5082,0.0164
58,62,3,0.4715,0.5041,0.0244
58,62,4,0.4677,0.5,0.0323
58,62,5,0.464,0.496,0.04
58,63,5,0.4603,0.5,0.0397
58,63,6,0.4567,0.4961,0.0472
58,64,6,0.4531,0.5,0.0469
58,65,6,0.4496,0.5039,0.0465
58,65,7,0.4462,0.5,0.0538
58,65,8,0.4427,0.4962,0.0611
58,66,7,0.4427,0.5038,0.0534
58,66,8,0.4394,0.5,0.0606
58,66,9,0.4361,0.4962,0.0677
58,66,10,0.4328,0.4925,0.0746
58,66,11,0.4296,0.4889,0.0815
58,67,11,0.4265,0.4926,0.0809
58,68,11,0.4234,0.4964,0.0803
58,68,12,0.4203,0.4928,0.087
58,68,13,0.4173,0.4892,0.0935
58,69,13,0.4143,0.4929,0.0929
58,70,13,0.4113,0.4965,0.0922
58,71,12,0.4113,0.5035,0.0851
58,72,12,0.4085,0.507,0.0845
58,73,11,0.4085,0.5141,0.0775
59,73,11,0.4126,0.5105,0.0769
59,74,10,0.4126,0.5175,0.0699
59,75,10,0.4097,0.5208,0.0694
59,76,10,0.4069,0.5241,0.069
59,77,9,0.4069,0.531,0.0621
60,77,9,0.411,0.5274,0.0616
60,78,8,0.411,0.5342,0.0548
60,79,8,0.4082,0.5374,0.0544
60,80,7,0.4082,0.5442,0.0476
60,81,6,0.4082,0.551,0.0408
60,82,6,0.4054,0.5541,0.0405
60,83,6,0.4027,0.557,0.0403
60,84,6,0.4,0.56,0.04
60,85,6,0.3974,0.5629,0.0397
60,86,6,0.3947,0.5658,0.0395
60,87,5,0.3947,0.5724,0.0329
60,88,4,0.3947,0.5789,0.0263
60,89,3,0.3947,0.5855,0.0197
60,90,2,0.3947,0.5921,0.0132
60,91,2,0.3922,0.5948,0.0131
60,92,2,0.3896,0.5974,0.013
60,93,2,0.3871,0.6,0.0129
60,94,1,0.3871,0.6065,0.0065
60,95,0,0.3871,0.6129,0.0
60,96,0,0.3846,0.6154,0.0
61,96,0,0.3885,0.6115,0.0
61,96,1,0.3861,0.6076,0.0063
62,96,0,0.3924,0.6076,0.0
62,96,1,0.3899,0.6038,0.0063
62,96,2,0.3875,0.6,0.0125
62,96,3,0.3851,0.5963,0.0186
62,96,4,0.3827,0.5926,0.0247
62,96,5,0.3804,0.589,0.0307
62,96,6,0.378,0.5854,0.0366
62,96,7,0.3758,0.5818,0.0424
62,96,8,0.3735,0.5783,0.0482
63,96,8,0.3772,0.5749,0.0479
63,97,8,0.375,0.5774,0.0476
63,98,8,0.3728,0.5799,0.0473
63,99,7,0.3728,0.5858,0.0414
63,100,7,0.3706,0.5882,0.0412
63,101,7,0.3684,0.5906,0.0409
63,102,7,0.3663,0.593,0.0407
63,103,7,0.3642,0.5954,0.0405
63,104,7,0.3621,0.5977,0.0402
63,105,7,0.36,0.6,0.04
63,106,7,0.358,0.6023,0.0398
