1,1.0
2,0.8
3,1.0
4,1.0
5,1.0
6,0.8
7,0.8
8,0.4
9,0.6
10,0.2
11,1.0
12,0.2
13,0.4
14,1.0
15,1.0
16,1.0
17,0.6
18,0.4
19,0.2
20,1.0
21,1.0
22,1.0
23,0.8
24,0.4
25,0.2
26,0.0
27,0.2
28,0.0
29,0.2
30,0.0
31,0.6
32,0.2
33,0.4
34,0.2
35,0.6
36,1.0
37,0.4
38,1.0
39,1.0
40,1.0
41,1.2
42,2.6
43,0.8
44,1.2
45,1.4
46,1.0
47,1.4
48,1.4
49,1.0
50,1.4
51,3.2
52,0.6
53,2.0
54,3.8
55,2.4
56,2.0
57,1.6
58,1.8
59,3.0
60,0.8
61,1.0
62,4.2
63,2.8
64,2.0
65,3.0
66,2.6
67,1.2
68,3.8
69,2.2
70,1.4
71,2.8
72,2.2
73,2.8
74,4.2
75,2.4
76,2.8
77,2.0
78,3.6
79,3.0
80,3.6
81,1.8
82,2.8
83,2.6
84,3.6
85,5.0
86,2.2
87,1.2
