success,failure,stuck,success_percent,failure_percent,stuck_percent
66,35,0,0.6535,0.3465,0.0
66,35,1,0.6471,0.3431,0.0098
66,35,2,0.6408,0.3398,0.0194
66,35,3,0.6346,0.3365,0.0288
66,36,3,0.6286,0.3429,0.0286
66,37,3,0.6226,0.3491,0.0283
66,38,2,0.6226,0.3585,0.0189
66,39,2,0.6168,0.3645,0.0187
66,40,1,0.6168,0.3738,0.0093
66,40,2,0.6111,0.3704,0.0185
66,41,1,0.6111,0.3796,0.0093
67,41,0,0.6204,0.3796,0.0
67,41,1,0.6147,0.3761,0.0092
68,41,0,0.6239,0.3761,0.0
68,41,1,0.6182,0.3727,0.0091
69,41,0,0.6273,0.3727,0.0
69,41,1,0.6216,0.3694,0.009
69,41,2,0.6161,0.3661,0.0179
69,41,3,0.6106,0.3628,0.0265
69,41,4,0.6053,0.3596,0.0351
69,41,5,0.6,0.3565,0.0435
69,42,5,0.5948,0.3621,0.0431
69,42,6,0.5897,0.359,0.0513
69,43,5,0.5897,0.3675,0.0427
69,44,5,0.5847,0.3729,0.0424
69,45,4,0.5847,0.3814,0.0339
69,45,5,0.5798,0.3782,0.042
69,46,4,0.5798,0.3866,0.0336
70,46,3,0.5882,0.3866,0.0252
70,47,2,0.5882,0.395,0.0168
70,48,1,0.5882,0.4034,0.0084
71,48,1,0.5917,0.4,0.0083
71,49,0,0.5917,0.4083,0.0
71,49,1,0.5868,0.405,0.0083
71,49,2,0.582,0.4016,0.0164
71,50,2,0.5772,0.4065,0.0163
71,51,1,0.5772,0.4146,0.0081
71,52,0,0.5772,0.4228,0.0
71,52,1,0.5726,0.4194,0.0081
72,52,0,0.5806,0.4194,0.0
73,52,0,0.584,0.416,0.0
74,52,0,0.5873,0.4127,0.0
75,52,0,0.5906,0.4094,0.0
75,52,1,0.5859,0.4062,0.0078
75,52,2,0.5814,0.4031,0.0155
76,52,1,0.5891,0.4031,0.0078
76,52,2,0.5846,0.4,0.0154
77,52,1,0.5923,0.4,0.0077
78,52,0,0.6,0.4,0.0
78,52,1,0.5954,0.3969,0.0076
78,52,2,0.5909,0.3939,0.0152
78,53,1,0.5909,0.4015,0.0076
78,54,0,0.5909,0.4091,0.0
78,54,1,0.5865,0.406,0.0075
79,54,1,0.5896,0.403,0.0075
80,54,0,0.597,0.403,0.0
80,54,1,0.5926,0.4,0.0074
81,54,0,0.6,0.4,0.0
81,54,1,0.5956,0.3971,0.0074
82,54,1,0.5985,0.3942,0.0073
83,54,0,0.6058,0.3942,0.0
