success,failure,stuck,success_percent,failure_percent
58,37,108,0.2857,0.7143
58,37,109,0.2843,0.7157
58,37,110,0.2829,0.7171
58,37,111,0.2816,0.7184
59,37,111,0.285,0.715
60,37,111,0.2885,0.7115
60,37,112,0.2871,0.7129
60,37,113,0.2857,0.7143
60,37,114,0.2844,0.7156
60,37,115,0.283,0.717
61,37,115,0.2864,0.7136
62,37,115,0.2897,0.7103
62,37,116,0.2884,0.7116
62,37,117,0.287,0.713
63,37,117,0.2903,0.7097
63,38,117,0.289,0.711
63,38,118,0.2877,0.7123
63,39,118,0.2864,0.7136
64,39,118,0.2896,0.7104
64,39,119,0.2883,0.7117
64,39,120,0.287,0.713
64,39,121,0.2857,0.7143
64,39,122,0.2844,0.7156
64,39,123,0.2832,0.7168
64,39,124,0.2819,0.7181
64,39,125,0.2807,0.7193
64,39,126,0.2795,0.7205
64,39,127,0.2783,0.7217
65,39,127,0.2814,0.7186
66,39,127,0.2845,0.7155
67,39,127,0.2876,0.7124
68,39,127,0.2906,0.7094
69,39,127,0.2936,0.7064
69,39,128,0.2924,0.7076
70,39,128,0.2954,0.7046
70,39,129,0.2941,0.7059
70,40,129,0.2929,0.7071
70,40,130,0.2917,0.7083
71,40,130,0.2946,0.7054
72,40,130,0.2975,0.7025
73,40,130,0.3004,0.6996
73,40,131,0.2992,0.7008
74,40,131,0.302,0.698
74,41,131,0.3008,0.6992
75,41,131,0.3036,0.6964
75,41,132,0.3024,0.6976
75,42,132,0.3012,0.6988
75,42,133,0.3,0.7
75,42,134,0.2988,0.7012
76,42,134,0.3016,0.6984
77,42,134,0.3043,0.6957
78,42,134,0.3071,0.6929
78,42,135,0.3059,0.6941
78,42,136,0.3047,0.6953
78,42,137,0.3035,0.6965
78,42,138,0.3023,0.6977
78,42,139,0.3012,0.6988
79,42,139,0.3038,0.6962
79,42,140,0.3027,0.6973
79,43,140,0.3015,0.6985
79,43,141,0.3004,0.6996
80,43,141,0.303,0.697
80,43,142,0.3019,0.6981
80,43,143,0.3008,0.6992
80,43,144,0.2996,0.7004
80,43,145,0.2985,0.7015
80,44,145,0.2974,0.7026
80,44,146,0.2963,0.7037
80,44,147,0.2952,0.7048
80,44,148,0.2941,0.7059
80,44,149,0.293,0.707
81,44,149,0.2956,0.7044
82,44,149,0.2982,0.7018
83,44,149,0.3007,0.6993
84,44,149,0.3032,0.6968
84,45,149,0.3022,0.6978
84,45,150,0.3011,0.6989
85,45,150,0.3036,0.6964
85,45,151,0.3025,0.6975
85,45,152,0.3014,0.6986
85,45,153,0.3004,0.6996
85,45,154,0.2993,0.7007
85,46,154,0.2982,0.7018
86,46,154,0.3007,0.6993
86,46,155,0.2997,0.7003
86,46,156,0.2986,0.7014
87,46,156,0.301,0.699
88,46,156,0.3034,0.6966
