success,failure,stuck,success_percent,failure_percent
12,99,0,0.1081,0.8919
12,99,1,0.1081,0.8919
12,100,1,0.1071,0.8929
12,100,2,0.1071,0.8929
12,101,1,0.1062,0.8938
13,101,0,0.114,0.886
13,101,1,0.114,0.886
14,101,0,0.1217,0.8783
14,101,1,0.1217,0.8783
14,101,2,0.1217,0.8783
14,101,3,0.1217,0.8783
14,102,2,0.1207,0.8793
15,102,1,0.1282,0.8718
15,103,0,0.1271,0.8729
16,103,0,0.1345,0.8655
17,103,0,0.1417,0.8583
17,103,1,0.1417,0.8583
17,103,2,0.1417,0.8583
17,103,3,0.1417,0.8583
17,103,4,0.1417,0.8583
17,103,5,0.1417,0.8583
17,103,6,0.1417,0.8583
17,103,7,0.1417,0.8583
17,103,8,0.1417,0.8583
17,103,9,0.1417,0.8583
17,103,10,0.1417,0.8583
17,103,11,0.1417,0.8583
17,103,12,0.1417,0.8583
17,103,13,0.1417,0.8583
17,104,12,0.1405,0.8595
17,104,13,0.1405,0.8595
17,105,13,0.1393,0.8607
17,105,14,0.1393,0.8607
17,105,15,0.1393,0.8607
17,105,16,0.1393,0.8607
17,106,15,0.1382,0.8618
17,106,16,0.1382,0.8618
17,106,17,0.1382,0.8618
17,107,17,0.1371,0.8629
17,107,18,0.1371,0.8629
17,107,19,0.1371,0.8629
17,107,20,0.1371,0.8629
17,107,21,0.1371,0.8629
17,108,21,0.136,0.864
17,108,22,0.136,0.864
17,109,21,0.1349,0.8651
17,109,22,0.1349,0.8651
17,109,23,0.1349,0.8651
17,109,24,0.1349,0.8651
17,109,25,0.1349,0.8651
17,110,24,0.1339,0.8661
17,111,24,0.1328,0.8672
17,112,23,0.1318,0.8682
17,112,24,0.1318,0.8682
17,113,24,0.1308,0.8692
17,114,23,0.1298,0.8702
17,115,22,0.1288,0.8712
17,116,21,0.1278,0.8722
17,117,20,0.1269,0.8731
17,118,19,0.1259,0.8741
17,119,18,0.125,0.875
17,120,17,0.1241,0.8759
17,121,16,0.1232,0.8768
17,122,15,0.1223,0.8777
17,123,14,0.1214,0.8786
17,124,13,0.1206,0.8794
17,125,12,0.1197,0.8803
17,126,11,0.1189,0.8811
17,127,10,0.1181,0.8819
17,128,9,0.1172,0.8828
17,129,8,0.1164,0.8836
17,130,7,0.1156,0.8844
17,131,6,0.1149,0.8851
17,132,5,0.1141,0.8859
17,133,4,0.1133,0.8867
17,134,3,0.1126,0.8874
17,135,2,0.1118,0.8882
17,136,1,0.1111,0.8889
17,137,0,0.1104,0.8896
17,138,0,0.1097,0.8903
17,139,0,0.109,0.891
17,139,1,0.109,0.891
17,140,0,0.1083,0.8917
17,140,1,0.1083,0.8917
17,141,1,0.1076,0.8924
17,141,2,0.1076,0.8924
17,141,3,0.1076,0.8924
17,141,4,0.1076,0.8924
17,141,5,0.1076,0.8924
17,141,6,0.1076,0.8924
17,141,7,0.1076,0.8924
17,141,8,0.1076,0.8924
17,141,9,0.1076,0.8924
17,141,10,0.1076,0.8924
17,141,11,0.1076,0.8924
17,141,12,0.1076,0.8924
17,141,13,0.1076,0.8924
17,141,14,0.1076,0.8924
17,141,15,0.1076,0.8924
17,141,16,0.1076,0.8924
17,141,17,0.1076,0.8924
17,141,18,0.1076,0.8924
17,141,19,0.1076,0.8924
17,142,18,0.1069,0.8931
17,143,17,0.1062,0.8938
17,144,16,0.1056,0.8944
17,145,15,0.1049,0.8951
17,146,14,0.1043,0.8957
17,147,13,0.1037,0.8963
17,148,12,0.103,0.897
17,149,11,0.1024,0.8976
17,150,10,0.1018,0.8982
17,151,9,0.1012,0.8988
17,152,8,0.1006,0.8994
17,153,7,0.1,0.9
17,154,6,0.0994,0.9006
17,155,5,0.0988,0.9012
17,156,4,0.0983,0.9017
17,157,3,0.0977,0.9023
17,158,2,0.0971,0.9029
17,159,1,0.0966,0.9034
17,160,0,0.096,0.904
17,161,0,0.0955,0.9045
17,162,0,0.095,0.905
17,163,0,0.0944,0.9056
17,164,0,0.0939,0.9061
17,164,1,0.0939,0.9061
17,164,2,0.0939,0.9061
17,165,1,0.0934,0.9066
17,166,0,0.0929,0.9071
17,166,1,0.0929,0.9071
18,166,1,0.0978,0.9022
18,167,0,0.0973,0.9027
18,167,1,0.0973,0.9027
18,167,2,0.0973,0.9027
18,167,3,0.0973,0.9027
18,167,4,0.0973,0.9027
18,167,5,0.0973,0.9027
18,167,6,0.0973,0.9027
18,167,7,0.0973,0.9027
18,168,6,0.0968,0.9032
18,169,5,0.0963,0.9037
19,169,4,0.1011,0.8989
19,170,3,0.1005,0.8995
19,171,2,0.1,0.9
19,172,1,0.0995,0.9005
19,173,0,0.099,0.901
19,173,1,0.099,0.901
19,174,1,0.0984,0.9016
19,175,1,0.0979,0.9021
19,175,2,0.0979,0.9021
19,176,2,0.0974,0.9026
19,176,3,0.0974,0.9026
19,176,4,0.0974,0.9026
19,176,5,0.0974,0.9026
19,176,6,0.0974,0.9026
19,177,5,0.0969,0.9031
19,178,4,0.0964,0.9036
20,178,3,0.101,0.899
21,178,2,0.1055,0.8945
21,179,1,0.105,0.895
21,180,0,0.1045,0.8955
21,180,1,0.1045,0.8955
21,181,1,0.104,0.896
21,181,2,0.104,0.896
21,182,2,0.1034,0.8966
21,183,1,0.1029,0.8971
21,183,2,0.1029,0.8971
21,183,3,0.1029,0.8971
22,183,3,0.1073,0.8927
22,184,3,0.1068,0.8932
22,185,2,0.1063,0.8937
22,186,1,0.1058,0.8942
22,187,1,0.1053,0.8947
23,187,0,0.1095,0.8905
23,187,1,0.1095,0.8905
23,187,2,0.1095,0.8905
23,187,3,0.1095,0.8905
23,188,2,0.109,0.891
23,189,1,0.1085,0.8915
23,190,0,0.108,0.892
24,190,0,0.1121,0.8879
24,190,1,0.1121,0.8879
24,190,2,0.1121,0.8879
25,190,1,0.1163,0.8837
26,190,0,0.1204,0.8796
26,190,1,0.1204,0.8796
26,190,2,0.1204,0.8796
27,190,1,0.1244,0.8756
27,190,2,0.1244,0.8756
27,190,3,0.1244,0.8756
27,191,2,0.1239,0.8761
27,191,3,0.1239,0.8761
27,191,4,0.1239,0.8761
28,191,3,0.1279,0.8721
29,191,2,0.1318,0.8682
30,191,1,0.1357,0.8643
30,192,0,0.1351,0.8649
30,192,1,0.1351,0.8649
30,193,1,0.1345,0.8655
30,194,0,0.1339,0.8661
30,194,1,0.1339,0.8661
30,195,0,0.1333,0.8667
30,195,1,0.1333,0.8667
31,195,1,0.1372,0.8628
31,195,2,0.1372,0.8628
32,195,1,0.141,0.859
33,195,0,0.1447,0.8553
33,195,1,0.1447,0.8553
33,195,2,0.1447,0.8553
34,195,1,0.1485,0.8515
35,195,0,0.1522,0.8478
35,195,1,0.1522,0.8478
35,195,2,0.1522,0.8478
35,195,3,0.1522,0.8478
36,195,2,0.1558,0.8442
36,196,1,0.1552,0.8448
36,197,0,0.1545,0.8455
36,197,1,0.1545,0.8455
36,198,1,0.1538,0.8462
36,199,0,0.1532,0.8468
36,199,1,0.1532,0.8468
36,199,2,0.1532,0.8468
36,200,1,0.1525,0.8475
37,200,0,0.1561,0.8439
